"jou","issn","SciMet_A","SciMet_B","SciMet_C","entry"
"The Analyst","0003-2654","Natural Sciences","Chemistry","Analytical Chemistry","auto_issn"
"Annals of Pure and Applied Logic","0168-0072","Natural Sciences","Mathematics & Statistics","General Mathematics","auto_issn"
"Communications in Algebra","0092-7872","Natural Sciences","Mathematics & Statistics","General Mathematics","auto_issn"
"Physical Review Letters","0031-9007","Natural Sciences","Physics & Astronomy","General Physics","auto_issn"
"Physical Review Letters","0031-9007","Natural Sciences","Physics & Astronomy","General Physics","auto_issn"
"Physical Review D - Particles, Fields, Gravitation, and Cosmology","2470-0010","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","select_name"
"Physical Review D - Particles, Fields, Gravitation, and Cosmology","2470-0010","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","select_name"
"Physical Review D - Particles, Fields, Gravitation, and Cosmology","2470-0010","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","select_name"
"Physical Review B - Condensed Matter and Materials Physics","2469-9950","Natural Sciences","Physics & Astronomy","Fluids & Plasmas","select_name"
"Human Molecular Genetics","0964-6906","Health Sciences","Biomedical Research","Genetics & Heredity","auto_issn"
"Cell","0092-8674","Health Sciences","Biomedical Research","Developmental Biology","auto_issn"
"Physical Review D - Particles, Fields, Gravitation, and Cosmology","2470-0010","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","select_name"
"Physical Review D - Particles, Fields, Gravitation, and Cosmology","2470-0010","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","select_name"
"Optics Letters","0146-9592","Natural Sciences","Physics & Astronomy","Optics","auto_issn"
"Quaternary International","1040-6182","Natural Sciences","Earth & Environmental Sciences","Paleontology","auto_issn"
"Physics Letters B","0370-2693","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"Physics Letters B","0370-2693","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"Physics Letters B","0370-2693","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"The European Physical Journal C - Particles and Fields","1434-6044","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"Physical Review D - Particles, Fields, Gravitation, and Cosmology","2470-0010","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","select_name"
"The European Physical Journal C - Particles and Fields","1434-6044","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"Physical Review D - Particles, Fields, Gravitation, and Cosmology","2470-0010","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","select_name"
"Neurology","0028-3878","Health Sciences","Clinical Medicine","Neurology & Neurosurgery","auto_issn"
"Blood","0006-4971","Health Sciences","Clinical Medicine","Immunology","auto_issn"
"Blood","0006-4971","Health Sciences","Clinical Medicine","Immunology","auto_issn"
"Blood","0006-4971","Health Sciences","Clinical Medicine","Immunology","auto_issn"
"Blood","0006-4971","Health Sciences","Clinical Medicine","Immunology","auto_issn"
"Journal of Alloys and Compounds","0925-8388","Applied Sciences","Enabling & Strategic Technologies","Materials","auto_issn"
"JAMA : the journal of the American Medical Association","0098-7484","Health Sciences","Clinical Medicine","General & Internal Medicine","auto_issn"
"The European Physical Journal C - Particles and Fields","1434-6044","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"Journal of High Energy Physics","1029-8479","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_name"
"Journal of geophysical research. Space physics","2169-9380","Natural Sciences","Physics & Astronomy","Astronomy & Astrophysics","manual"
"Journal of geophysical research. Space physics","2169-9380","Natural Sciences","Physics & Astronomy","Astronomy & Astrophysics","manual"
"International Biodeterioration and Biodegradation","0964-8305","Applied Sciences","Enabling & Strategic Technologies","Biotechnology","auto_issn"
"Long Range Planning","0024-6301","Economic & Social Sciences","Economics & Business ","Business & Management","auto_issn"
"Chaos","1054-1500","Natural Sciences","Physics & Astronomy","Fluids & Plasmas","auto_issn"
"Nuclear Instruments and Methods in Physics Research Section B: Beam Interactions with Materials and Atoms","0168-583X","Natural Sciences","Physics & Astronomy","Applied Physics","auto_issn"
"Physical Review A - Atomic, Molecular, and Optical Physics","1050-2947","Natural Sciences","Physics & Astronomy","General Physics","auto_name"
"Proceedings. Section A. Mathematics","0308-2105","Natural Sciences","Mathematics & Statistics","General Mathematics","manual"
"Endocrine","1355-008X","Health Sciences","Clinical Medicine","Endocrinology & Metabolism","auto_name"
"Journal of Plant Biology","1226-9239","Natural Sciences","Biology","Plant Biology & Botany","auto_issn"
"Applied Microbiology and Biotechnology","0175-7598","Applied Sciences","Enabling & Strategic Technologies","Biotechnology","auto_issn"
"Central European Journal of Operations Research","1435-246X","Applied Sciences","Engineering","Operations Research","auto_issn"
"European journal of integrative medicine","1876-3820","Health Sciences","Clinical Medicine","General & Internal Medicine","manual"
"Ceramics International","0272-8842","Applied Sciences","Enabling & Strategic Technologies","Materials","auto_issn"
"Endocrinology","0013-7227","Health Sciences","Clinical Medicine","Endocrinology & Metabolism","auto_issn"
"The EPMA journal","1878-5085","Health Sciences","Clinical Medicine","General & Internal Medicine","manual"
"Geology","0091-7613","Natural Sciences","Earth & Environmental Sciences","Geochemistry & Geophysics","auto_issn"
"IEEE Transactions on Geoscience and Remote Sensing","0196-2892","Applied Sciences","Engineering","Geological & Geomatics Engineering","auto_issn"
"The ISME Journal","1751-7362","Health Sciences","Biomedical Research","Microbiology","auto_issn"
"Journal of geophysical research. Space physics","2169-9380","Natural Sciences","Physics & Astronomy","Astronomy & Astrophysics","manual"
"Journal of Instrumentation","1748-0221","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"Journal of Pest Science","1612-4758","Applied Sciences","Agriculture, Fisheries & Forestry","Forestry","auto_issn"
"Journal of Psychiatric Research","0022-3956","Health Sciences","Clinical Medicine","Psychiatry","auto_issn"
"Journal of the American Water Resources Association","1093-474X","Applied Sciences","Engineering","Environmental Engineering","auto_issn"
"Journal of the European Ceramic Society","0955-2219","Applied Sciences","Enabling & Strategic Technologies","Materials","auto_issn"
"Nature Communications","2041-1723","Natural Sciences","Biology","Ecology","manual"
"Nuclear Fusion","0029-5515","Natural Sciences","Physics & Astronomy","Fluids & Plasmas","auto_issn"
"Nuclear Physics B","0550-3213","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"Physical communication","1874-4907","Applied Sciences","Information & Communication Technologies","Networking & Telecommunications","manual"
"Physical Review D - Particles, Fields, Gravitation, and Cosmology","2470-0010","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","select_name"
"Ecological Indicators","1470-160X","Natural Sciences","Biology","Ecology","auto_issn"
"Ecological Indicators","1470-160X","Natural Sciences","Biology","Ecology","auto_issn"
"Ultramicroscopy","0304-3991","Health Sciences","Biomedical Research","Microscopy","auto_issn"
"Information Systems","0306-4379","Applied Sciences","Information & Communication Technologies","Information Systems","auto_issn"
"Journal of ecumenical studies","0022-0558","Economic & Social Sciences","Social Sciences","Geography","manual"
"Construction and Building Materials","0950-0618","Applied Sciences","Built Environment & Design","Building & Construction","auto_issn"
"Journal of High Energy Physics","1029-8479","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_name"
"The European Physical Journal C - Particles and Fields","1434-6044","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"The European Physical Journal C - Particles and Fields","1434-6044","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"The European Physical Journal C - Particles and Fields","1434-6044","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"Ecological Modelling","0304-3800","Natural Sciences","Biology","Ecology","auto_issn"
"Nuclear Instruments and Methods in Physics Research Section A: Accelerators, Spectrometers, Detectors and Associated Equipment","0168-9002","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"Journal of High Energy Physics","1029-8479","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_name"
"Physical Review D - Particles, Fields, Gravitation, and Cosmology","2470-0010","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","select_name"
"Physical Review Letters","0031-9007","Natural Sciences","Physics & Astronomy","General Physics","auto_issn"
"The European Physical Journal C - Particles and Fields","1434-6044","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"Journal of High Energy Physics","1029-8479","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_name"
"Journal of High Energy Physics","1029-8479","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_name"
"European Journal of Operational Research","0377-2217","Applied Sciences","Engineering","Operations Research","auto_issn"
"International Journal of Coal Geology","0166-5162","Applied Sciences","Enabling & Strategic Technologies","Energy","auto_issn"
"Planetary and Space Science","0032-0633","Natural Sciences","Physics & Astronomy","Astronomy & Astrophysics","auto_issn"
"Scientific reports","2045-2322","General","General Science & Technology","General Science & Technology","manual"
"Advanced Materials","0935-9648","Applied Sciences","Enabling & Strategic Technologies","Nanoscience & Nanotechnology","auto_issn"
"The European Physical Journal C - Particles and Fields","1434-6044","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"Journal of High Energy Physics","1029-8479","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_name"
"Zootaxa","1175-5326","Natural Sciences","Biology","Zoology","auto_issn"
"The Astrophysical Journal","0004-637X","Natural Sciences","Physics & Astronomy","Astronomy & Astrophysics","auto_issn"
"Physics Letters B","0370-2693","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"Physics Letters B","0370-2693","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"Physics Letters B","0370-2693","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
